company_id,ticker,metric,value,unit,currency,period_end,fiscal_year,fiscal_period,estimate_kind,analyst_count,source_record_id,template_status
company:US-CIK0000089800,SHW,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000089800,SHW,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000089800,SHW,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000764180,MO,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000764180,MO,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000764180,MO,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000823768,WM,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000823768,WM,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000823768,WM,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001133421,NOC,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001133421,NOC,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001133421,NOC,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001059556,MCO,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001059556,MCO,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001059556,MCO,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000820313,APH,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000820313,APH,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000820313,APH,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000076334,PH,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000076334,PH,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000076334,PH,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001466258,TT,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001466258,TT,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001466258,TT,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000882835,ROP,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000882835,ROP,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000882835,ROP,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000068505,MSI,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000068505,MSI,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000068505,MSI,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000040533,GD,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000040533,GD,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000040533,GD,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001048911,FDX,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001048911,FDX,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001048911,FDX,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000821189,EOG,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000821189,EOG,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000821189,EOG,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000032604,EMR,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000032604,EMR,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000032604,EMR,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000898173,ORLY,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000898173,ORLY,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000898173,ORLY,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
